# tracer: nop
#
# entries-in-buffer/entries-written: 1428/1428   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u64:3-3749    [008] d..3.  1210.772902: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00101000
   kworker/u64:3-3749    [008] d..3.  1210.772903: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000100
   kworker/u64:3-3749    [008] .....  1210.772971: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.772972: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:3-3749    [008] .....  1210.772977: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:3-3749    [008] .....  1210.772979: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:3-3749    [008] .....  1210.772981: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:3-3749    [008] .....  1210.772982: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.772983: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:3-3749    [008] .....  1210.772984: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
